liver_tpm_15_GTEX-XXEK-1126-SM-4BRUX	 0.28983088	 0.03899879	 0.67117032
liver_tpm_15_GTEX-S32W-1926-SM-4AD63	 0.44560096	 0.06319601	 0.49120303
liver_tpm_15_GTEX-X4EP-1026-SM-4QAS5	 0.88517715	 0.04869782	 0.06612502
liver_tpm_15_GTEX-WQUQ-1926-SM-4OOSA	 0.68360346	 0.06034109	 0.25605545
liver_tpm_15_GTEX-14E1K-0326-SM-5S2PE	 0.47942938	 0.05310771	 0.46746291
liver_tpm_15_GTEX-WFON-1726-SM-4LVMQ	 0.36202026	 0.04372132	 0.59425842
liver_tpm_15_GTEX-13OW6-2626-SM-5IFF2	 0.84440141	 0.06544557	 0.09015302
liver_tpm_15_GTEX-O5YT-0826-SM-3TW8N	 0.27820622	 0.08980447	 0.63198931
liver_tpm_15_GTEX-XBEC-1526-SM-4AT68	 0.90355485	 0.05428678	 0.04215837
liver_tpm_15_GTEX-13QJC-0726-SM-5RQJK	 0.94631248	 0.04015601	 0.01353151
liver_tpm_15_GTEX-11TT1-1726-SM-5EQLJ	 0.12576716	 0.04153851	 0.83269433
liver_tpm_15_GTEX-11UD2-1626-SM-5EQM3	 0.71545858	 0.10877281	 0.1757686 
liver_tpm_15_GTEX-13FTZ-0726-SM-5IFFY	 0.9192639	 0.0590137	 0.0217224
liver_tpm_15_GTEX-X261-1726-SM-4PQYT	 0.90807522	 0.05176716	 0.04015761
liver_tpm_15_GTEX-RNOR-1426-SM-48FDJ	 0.8800466 	 0.07825738	 0.04169602
lung_tpm_15_GTEX-XXEK-0626-SM-4BRWE	 0.62110126	 0.21536129	 0.16353746
lung_tpm_15_GTEX-111VG-0726-SM-5GIDC	 0.25660578	 0.19357245	 0.54982177
lung_tpm_15_GTEX-N7MT-0126-SM-26GMB	 0.04421312	 0.09241784	 0.86336904
lung_tpm_15_GTEX-SN8G-0926-SM-4DM5I	 0.23647878	 0.15570803	 0.60781319
lung_tpm_15_GTEX-WWYW-0926-SM-3NB2Z	 0.26975277	 0.16513372	 0.56511351
lung_tpm_15_GTEX-13O3Q-0526-SM-5KM18	 0.23589253	 0.17331742	 0.59079006
lung_tpm_15_GTEX-11NV4-1126-SM-5HL6J	 0.26119792	 0.15704085	 0.58176123
lung_tpm_15_GTEX-N7MT-0126-SM-26GMS	 0.00837363	 0.03353696	 0.95808941
lung_tpm_15_GTEX-13O61-0726-SM-5J2MD	 0.12734575	 0.12906995	 0.7435843 
lung_tpm_15_GTEX-11NUK-0826-SM-5HL4U	 0.11774513	 0.136691  	 0.74556387
lung_tpm_15_GTEX-144GM-0126-SM-5Q5AX	 0.22917086	 0.12562079	 0.64520836
lung_tpm_15_GTEX-QXCU-0626-SM-2TC69	 0.07272351	 0.11187602	 0.81540047
lung_tpm_15_GTEX-11O72-1326-SM-5BC5A	 0.19436485	 0.16960124	 0.63603391
lung_tpm_15_GTEX-11EQ9-0226-SM-5A5JX	 0.13913069	 0.11376966	 0.74709965
lung_tpm_15_GTEX-1211K-0826-SM-5FQUP	 0.12314598	 0.125775  	 0.75107902
brain_cortex_tpm_15_GTEX-11O72-2926-SM-5BC4V	 0.12753543	 0.8566313 	 0.01583327
brain_cortex_tpm_15_GTEX-ZAJG-3126-SM-5HL9J	 0.1095337 	 0.87463211	 0.0158342 
brain_cortex_tpm_15_GTEX-QVUS-2826-SM-3GADB	 0.06783104	 0.88385922	 0.04830974
brain_cortex_tpm_15_GTEX-ZE7O-3126-SM-5HL5X	 0.0903642 	 0.89708078	 0.01255502
brain_cortex_tpm_15_GTEX-R55F-1326-SM-5S2V4	 0.04452371	 0.90192343	 0.05355287
brain_cortex_tpm_15_GTEX-X585-3026-SM-46MWF	 0.04827194	 0.84065922	 0.11106884
brain_cortex_tpm_15_GTEX-1117F-3226-SM-5N9CT	 0.09748305	 0.88312546	 0.01939149
brain_cortex_tpm_15_GTEX-13O3Q-2926-SM-5KM45	 0.03575503	 0.88041724	 0.08382774
brain_cortex_tpm_15_GTEX-11GSP-3226-SM-5986O	 0.08615119	 0.81269563	 0.10115317
brain_cortex_tpm_15_GTEX-13OW6-3026-SM-5J2MI	 0.03119896	 0.8916767 	 0.07712434
brain_cortex_tpm_15_GTEX-13NYB-3026-SM-5IJD7	 0.05243365	 0.91428558	 0.03328077
brain_cortex_tpm_15_GTEX-QDT8-2926-SM-32PKC	 0.05402707	 0.89687686	 0.04909607
brain_cortex_tpm_15_GTEX-11TUW-3126-SM-5GU4Y	 0.13976578	 0.61152363	 0.24871059
brain_cortex_tpm_15_GTEX-12ZZZ-3026-SM-5BC67	 0.05923956	 0.90384017	 0.03692027
brain_cortex_tpm_15_GTEX-ZE9C-3026-SM-4WKHB	 0.04146953	 0.91333809	 0.04519237
